date,mean_date_no,original_date_no,date_no,sample_id,fish_prey_stage,sample_mg_dm,sample_mg_dm01,site,fish_species,prey_stage
2019-06-07,31.691419141914192,4,-27.691419141914192,39,Pimephales promelas_a,0,0.01,spirit mound,Pimephales promelas,a
2019-06-07,31.691419141914192,4,-27.691419141914192,39,Pimephales promelas_l,0,0.01,spirit mound,Pimephales promelas,l
2019-06-07,31.691419141914192,4,-27.691419141914192,39,Pimephales promelas_p,0,0.01,spirit mound,Pimephales promelas,p
2019-06-07,31.691419141914192,4,-27.691419141914192,40,Etheostoma nigrum_a,0,0.01,spirit mound,Etheostoma nigrum,a
2019-06-07,31.691419141914192,4,-27.691419141914192,40,Etheostoma nigrum_l,86.61326955943672,86.62326955943672,spirit mound,Etheostoma nigrum,l
2019-06-07,31.691419141914192,4,-27.691419141914192,40,Etheostoma nigrum_p,0,0.01,spirit mound,Etheostoma nigrum,p
2019-06-07,31.691419141914192,4,-27.691419141914192,42,Lepomis macrochirus_a,0,0.01,gunderson,Lepomis macrochirus,a
2019-06-07,31.691419141914192,4,-27.691419141914192,42,Lepomis macrochirus_l,22.45529210800211,22.46529210800211,gunderson,Lepomis macrochirus,l
2019-06-07,31.691419141914192,4,-27.691419141914192,42,Lepomis macrochirus_p,0.58,0.59,gunderson,Lepomis macrochirus,p
2019-06-06,31.691419141914192,3,-28.691419141914192,43,Cyprinella spiloptera_a,0,0.01,burbank,Cyprinella spiloptera,a
2019-06-06,31.691419141914192,3,-28.691419141914192,43,Cyprinella spiloptera_l,0,0.01,burbank,Cyprinella spiloptera,l
2019-06-06,31.691419141914192,3,-28.691419141914192,43,Cyprinella spiloptera_p,0,0.01,burbank,Cyprinella spiloptera,p
2019-06-07,31.691419141914192,4,-27.691419141914192,45,Ameiurus melas_a,0.6354246991199936,0.6454246991199936,spirit mound,Ameiurus melas,a
2019-06-07,31.691419141914192,4,-27.691419141914192,45,Ameiurus melas_l,24.38003143154515,24.39003143154515,spirit mound,Ameiurus melas,l
2019-06-07,31.691419141914192,4,-27.691419141914192,45,Ameiurus melas_p,0,0.01,spirit mound,Ameiurus melas,p
2019-06-13,31.691419141914192,10,-21.691419141914192,46,Etheostoma nigrum_a,0,0.01,little bridge,Etheostoma nigrum,a
2019-06-13,31.691419141914192,10,-21.691419141914192,46,Etheostoma nigrum_l,106.50224256938144,106.51224256938144,little bridge,Etheostoma nigrum,l
2019-06-13,31.691419141914192,10,-21.691419141914192,46,Etheostoma nigrum_p,0,0.01,little bridge,Etheostoma nigrum,p
2019-06-13,31.691419141914192,10,-21.691419141914192,47,Ameiurus melas_a,0,0.01,little bridge,Ameiurus melas,a
2019-06-13,31.691419141914192,10,-21.691419141914192,47,Ameiurus melas_l,9.62369661771519,9.63369661771519,little bridge,Ameiurus melas,l
2019-06-13,31.691419141914192,10,-21.691419141914192,47,Ameiurus melas_p,0,0.01,little bridge,Ameiurus melas,p
2019-06-13,31.691419141914192,10,-21.691419141914192,48,Cyprinella lutrensis_a,0,0.01,burbank,Cyprinella lutrensis,a
2019-06-13,31.691419141914192,10,-21.691419141914192,48,Cyprinella lutrensis_l,1.283159549028692,1.293159549028692,burbank,Cyprinella lutrensis,l
2019-06-13,31.691419141914192,10,-21.691419141914192,48,Cyprinella lutrensis_p,0,0.01,burbank,Cyprinella lutrensis,p
2019-06-13,31.691419141914192,10,-21.691419141914192,49,Lepomis cyanellus_a,0,0.01,little bridge,Lepomis cyanellus,a
2019-06-13,31.691419141914192,10,-21.691419141914192,49,Lepomis cyanellus_l,3.849478647086076,3.8594786470860756,little bridge,Lepomis cyanellus,l
2019-06-13,31.691419141914192,10,-21.691419141914192,49,Lepomis cyanellus_p,0,0.01,little bridge,Lepomis cyanellus,p
2019-06-14,31.691419141914192,11,-20.691419141914192,50,Esox lucius_a,0,0.01,gunderson,Esox lucius,a
2019-06-14,31.691419141914192,11,-20.691419141914192,50,Esox lucius_l,0.641579774514346,0.651579774514346,gunderson,Esox lucius,l
2019-06-14,31.691419141914192,11,-20.691419141914192,50,Esox lucius_p,0,0.01,gunderson,Esox lucius,p
2019-06-14,31.691419141914192,11,-20.691419141914192,51,Lepomis macrochirus_a,0,0.01,gunderson,Lepomis macrochirus,a
2019-06-14,31.691419141914192,11,-20.691419141914192,51,Lepomis macrochirus_l,5.774217970629114,5.784217970629114,gunderson,Lepomis macrochirus,l
2019-06-14,31.691419141914192,11,-20.691419141914192,51,Lepomis macrochirus_p,1.16,1.17,gunderson,Lepomis macrochirus,p
